TED_waveform,TED_transcript
4705_AlaaMurabit_2015W,from religious and political leaders most of whom cited religious scripture as their defense
4706_AlaaMurabit_2015W,it 's how they gained popular support for their opinions
4707_AlaaMurabit_2015W,so initially i focused on the economic and political empowerment of women i thought that
4708_AlaaMurabit_2015W,<unk> lead to cultural and social change it turns out it does a little <unk> but not a lot
4709_AlaaMurabit_2015W,i decided to use their defense as my offense <unk> and i began to cite and highlight islamic scripture as well
4710_AlaaMurabit_2015W,in two thousand and twelve and two thousand and thirteen my organization
4711_AlaaMurabit_2015W,<unk> the single largest and most widespread campaign in libya <unk>
4712_AlaaMurabit_2015W,we entered homes and schools and universities even mosques
4713_AlaaMurabit_2015W,we spoke to fifty thousand people directly <unk> and hundreds of thousands more through billboards and television commercials radio commercials and posters <unk>
4714_AlaaMurabit_2015W,and you 're probably wondering how a women 's rights organization was able to do this in communities which had previously opposed our sheer existence <unk>
4715_AlaaMurabit_2015W,i used scripture i used
4716_AlaaMurabit_2015W,<unk> verses from the quran and sayings of the prophet hadiths his sayings which
4717_AlaaMurabit_2015W,are for example the best of you is the best to their family do not let your brother oppress another
4718_AlaaMurabit_2015W,for the first time friday sermons led by local community imams promoted the rights of women they discussed taboo issues like
4719_AlaaMurabit_2015W,<unk> violence policies were changed
4720_AlaaMurabit_2015W,in certain communities we actually had to go as far
4721_AlaaMurabit_2015W,as saying the international human rights declaration which you opposed because it wasn 't written by religious scholars <unk>
4722_AlaaMurabit_2015W,well <unk> those same principles are are in our book <unk>
4723_AlaaMurabit_2015W,so really the united nations just copied us
4724_AlaaMurabit_2015W,by changing the message <unk> we were able to provide an alternative narrative which promoted the rights of women in libya <unk>
4725_AlaaMurabit_2015W,it 's something that has now been replicated internationally <unk>
4726_AlaaMurabit_2015W,and while i am not saying it 's easy believe me <unk> it 's not liberals
4727_AlaaMurabit_2015W,will say you 're using religion and call you a bad conservative conservatives will call you a lot of colorful things <unk>
4728_AlaaMurabit_2015W,i 've heard everything from your parents must be extremely ashamed of you false they 're my biggest fans
4729_AlaaMurabit_2015W,to you will not make it to your next birthday again wrong <unk> because i did <unk> and i remain
4730_AlaaMurabit_2015W,a very strong believer that women 's rights and religion are not mutually exclusive <unk>
4731_AlaaMurabit_2015W,but we have
4732_AlaaMurabit_2015W,<unk> be at the table <unk>
4733_AlaaMurabit_2015W,we have to stop giving up our position because by remaining silent we allow for the continued persecution and abuse of women worldwide
4734_AlaaMurabit_2015W,by saying that we 're going to fight for women 's rights and fight extremism with bombs and warfare <unk> we completely
4735_AlaaMurabit_2015W,<unk> cripple local societies which need to address these issues so that they 're sustainable <unk>
4736_AlaaMurabit_2015W,it is not easy <unk> challenging distorted religious messaging
4737_AlaaMurabit_2015W,you will have your fair share of insults and ridicule and threats <unk>
4738_AlaaMurabit_2015W,but we have to do it we have no other option than to reclaim the message of human rights the principles of our faith <unk>
4739_AlaaMurabit_2015W,not for us
4740_AlaaMurabit_2015W,<unk> for the women in your families not for the women in this room not even for the women out there <unk> but for societies that would be transformed
4741_AlaaMurabit_2015W,with the participation of women
4742_AlaaMurabit_2015W,and the only way we can do that our only option is to be and remain at the table <unk> thank you
4743_AlaaMurabit_2015W,<unk> sunday evening just as the sun is starting to set and the gap between my hopes for myself and the reality of my life starts to diverge so painfully that i normally end up
4744_AlaaMurabit_2015W,weeping into a pillow <unk> i 'm mentioning all
4745_AlaaMurabit_2015W,i 'm mentioning all this because i think this is not merely a personal problem you may think i 'm wrong in this <unk> but i think we live in an age when our lives are regularly punctuated by career crises <unk>
4746_AlaaMurabit_2015W,by moments when what we thought we knew about our lives about our careers comes into contact with
4747_AlaaMurabit_2015W,<unk> free of career anxiety i want to look
4748_AlaaMurabit_2015W,now if i may at some of the reasons why we might be feeling anxiety about our careers why we might be victims of these career crises as we 're weeping softly into our pillows
4749_AlaaMurabit_2015W,one of the reasons why we might be suffering is that we are surrounded by
4750_AlaaMurabit_2015W,<unk> 've got some bad news particularly to anybody who 's come to oxford from abroad there 's a real problem with snobbery because sometimes people from outside the u k imagine that snobbery is a distinctively u k phenomenon <unk>
4751_AlaaMurabit_2015W,fixated on country houses and titles the bad news is that 's not true snobbery is a global phenomenon <unk> we are a global organization this is a global phenomenon what is a snob a snob is anybody who takes a small part of you
4752_AlaaMurabit_2015W,snobbery <unk> the dominant kind of snobbery that exists nowadays is job snobbery you encounter it within minutes at a party when you get asked that famous iconic question of the early <unk>
4753_AlaaMurabit_2015W,what do you do
4754_AlaaMurabit_2015W,according to how you answer that question people are either incredibly delighted to see you or look at their watch and make their excuses now the opposite of a snob is your mother
4755_AlaaMurabit_2015W,necessarily your mother <unk> or indeed mine but as it were the ideal mother <unk> somebody who doesn 't care about your achievements unfortunately most people are not our mothers <unk> most people make a strict correlation <unk>
4756_AlaaMurabit_2015W,<unk> between how much time and if you like love not romantic love though that may be something but love in general respect they are willing to accord us <unk> that will be strictly
4757_AlaaMurabit_2015W,<unk> our position in the social hierarchy <unk> and that 's a lot of the reason why we care so much about our careers and indeed start caring so much about material goods you know
4758_AlaaMurabit_2015W,we 're often told that we live in very materialistic times that we 're all greedy people i don 't think we are particularly materialistic i think we live in a society which has simply pegged <unk>
4759_AlaaMurabit_2015W,certain emotional rewards to the acquisition of material goods <unk> it 's not the material goods we want it 's the rewards we want it 's a new way of looking at luxury goods the next time you see somebody
4760_AlaaMurabit_2015W,<unk> driving a ferrari don 't think this is somebody who 's greedy think this is somebody who is incredibly vulnerable and in need of love
4761_AlaaMurabit_2015W,laughter feel sympathy <unk> rather than contempt <unk> there are other reasons
4762_AlaaMurabit_2015W,there are other reasons why it 's perhaps harder now to feel calm than ever before one
4763_AlaindeBotton_2009G,<unk> and it 's paradoxical because it 's linked to something that 's rather nice is the hope we all have for our careers <unk> never before have expectations been so high about what human beings can achieve with their lifespan we 're told
4764_AlaindeBotton_2009G,from many sources that anyone can achieve anything <unk> we 've done away with the caste system <unk> we are now in a system where anyone can rise to any position
4765_AlaindeBotton_2009G,they please and it 's a beautiful
4766_AlaindeBotton_2009G,idea <unk> along with that is a kind of spirit of equality we 're all
4767_AlaindeBotton_2009G,<unk> is one really big problem with this <unk> and that problem is envy
4768_AlaindeBotton_2009G,envy it 's a real taboo to mention envy but if there 's one dominant emotion in modern society that is envy <unk> and it 's linked to the spirit of equality <unk> let me explain i think it would be very unusual for anyone here or anyone watching
4769_AlaindeBotton_2009G,to be envious of the queen of england even though
4770_AlaindeBotton_2009G,<unk> the reason why we don 't envy her is because she 's too weird she 's simply too strange
4771_AlaindeBotton_2009G,we can 't relate to her she speaks in a funny way she comes from an odd place so we can 't relate to her <unk> and when you can 't relate to somebody you don 't envy them the closer two people are
4772_AlaindeBotton_2009G,<unk> in age in background in the process of identification the more there 's a danger of envy which is incidentally why none of you should ever go to a school reunion because there is no
4773_AlaindeBotton_2009G,<unk> stronger reference point than people one one was at school with the problem of modern society is it turns the whole world into a school everybody 's wearing jeans everybody 's the same and yet they 're not so <unk>
4774_AlaindeBotton_2009G,<unk> there 's a spirit of equality combined with deep inequality <unk> which can make for a very stressful situation it 's probably as unlikely
4775_AlaindeBotton_2009G,<unk> as it was unlikely in the 17th century that you would accede to the ranks of the french aristocracy but the point is it doesn 't feel that way <unk> it 's made to feel by magazines and other media outlets that if you 've got energy a few bright ideas about technology a garage
4776_AlaindeBotton_2009G,you too could start a major
4777_AlaindeBotton_2009G,thing laughter
4778_AlaindeBotton_2009G,the consequences of this problem make themselves felt in bookshops when you go to a large bookshop and look at the self help sections as i sometimes do if you analyze self help books produced in the world today there are basically two kinds
4779_AlaindeBotton_2009G,<unk> kinds the first kind tells you you can do it you can make it anything 's possible the other kind tells you how to cope with what we politely call low <unk>
4780_AlaindeBotton_2009G,or impolitely call feeling very bad about yourself there 's <unk>
4781_AlaindeBotton_2009G,a real correlation between a society that tells people that they can do anything and the existence of low <unk> self esteem so that 's another way in which something quite positive can have a nasty kickback there is another reason why we
4782_AlaindeBotton_2009G,<unk> might be feeling more anxious about our careers about our status in the world today than ever before <unk> and it 's again linked to something nice <unk> and that nice thing is called meritocracy
4783_AlaindeBotton_2009G,everybody all politicians on left and right agree that meritocracy is a great thing <unk> and we should all be trying to make our societies really really meritocratic
4784_AlaindeBotton_2009G,<unk> other words what is a meritocratic society a meritocratic society is one in which if you 've got talent and energy and skill <unk> you will get to the top <unk> nothing should hold you back it 's a beautiful idea <unk> the problem is <unk>
4785_AlaindeBotton_2009G,<unk> if you really believe in a society where those who merit to get to the top get to the top you 'll also by implication and in a far more nasty way believe in a society where those who <unk>
4786_AlaindeBotton_2009G,<unk> deserve to get to the bottom also get to the bottom and stay there <unk> in other words your position in life comes to seem not accidental but merited and deserved
4787_AlaindeBotton_2009G,<unk> and that makes failure seem much more crushing you know in the middle ages <unk>
4788_AlaindeBotton_2009G,in england when you met a very poor person
4789_AlaindeBotton_2009G,that person would be described as an unfortunate literally somebody who had not been blessed by fortune an unfortunate nowadays
4790_AlaindeBotton_2009G,particularly in the united states if you meet someone at the bottom of society they may unkindly be described as a
4791_AlaindeBotton_2009G,<unk> there 's a real difference between an unfortunate and a loser and that shows four hundred years of evolution in society and our belief in who is responsible for our lives it 's no longer the gods <unk>
4792_AlaindeBotton_2009G,it 's us <unk> we 're in the driving seat that 's exhilarating if you 're doing well and very crushing if you 're not it leads in the worst cases in the analysis of a sociologist like emil durkheim it leads to increased rates of suicide <unk>
4793_AlaindeBotton_2009G,<unk> in developed individualistic countries than in any other part of the world and some of the reason for that is that people take what happens to them extremely personally they own their success but they also own
4794_AlaindeBotton_2009G,their failure
4795_AlaindeBotton_2009G,is there any relief from some of these pressures that i 've been outlining i think there is <unk> i just want to turn to a few of them <unk> let 's take meritocracy
4796_AlaindeBotton_2009G,this idea that everybody deserves to get where they get to
4797_AlaindeBotton_2009G,i think it 's a crazy idea completely crazy i will support any politician of left and right with any
4798_AlaindeBotton_2009G,<unk> idea <unk> i am a meritocrat in that sense <unk> but i think it 's insane to believe that we will ever make a society that is genuinely meritocratic it 's an impossible dream the idea that we will make a society where literally <unk>
4799_AlaindeBotton_2009G,<unk> everybody is graded the good at the top <unk> bad at the bottom exactly done as it should be is impossible there are simply too many random factors <unk> accidents accidents of birth
4800_AlaindeBotton_2009G,things dropping on people 's heads illnesses etc we will never get to grade them
4801_AlaindeBotton_2009G,never get to grade people as they should i 'm drawn to a lovely quote by st augustine in the city of god where he says it 's a sin to judge any man by his post
4802_AlaindeBotton_2009G,in modern english that would mean it 's a sin to come to any view of who you should talk to dependent on their business card <unk> it 's not the post that should count
4803_AlaindeBotton_2009G,according to st augustine only god can
4804_AlaindeBotton_2009G,<unk> really put everybody in their place he 's going to do that on the day of judgment with angels and trumpets and the skies will open insane idea if you 're a secularist person like me <unk> but something very valuable in that idea <unk>
4805_AlaindeBotton_2009G,<unk> nevertheless <unk> in other words <unk> hold your horses when you 're coming to judge people you don 't necessarily know
4806_AlaindeBotton_2009G,a loss of income a loss of status what we fear is the judgment and ridicule of others <unk> and it exists <unk> the number one organ of ridicule <unk> nowadays is the newspaper <unk>
4807_AlaindeBotton_2009G,<unk> if you open the newspaper any day of the week it 's full of people who 've messed up their lives they 've slept with the wrong person taken the wrong substance passed the wrong piece of legislation whatever it is and then are fit for for ridicule <unk> in other words they have failed <unk> and they are described as
4808_AlaindeBotton_2009G,<unk> now is there any alternative to this i think the western tradition shows us one glorious alternative which is tragedy
4809_AlaindeBotton_2009G,tragic art <unk> as it developed in the theaters of ancient greece in the fifth century b c was essentially an art form devoted to tracing how people fail
4810_AlaindeBotton_2009G,and
4811_AlaindeBotton_2009G,also according them a level of sympathy <unk> which ordinary
4812_AlaindeBotton_2009G,<unk> would not necessarily
4813_AlaindeBotton_2009G,accord them a few years ago i was thinking about this and i went to the sunday sport a tabloid newspaper i don 't recommend you start reading if you 're not familiar with it already
4814_AlaindeBotton_2009G,i went to talk to them about certain of the great tragedies of western art <unk> i wanted to see how they would seize the bare bones of certain stories if they came in as a news item
4815_AlaindeBotton_2009G,at the news desk on a saturday afternoon i mentioned othello they 'd not heard of it but were fascinated
4816_AlaindeBotton_2009G,immigrant kills senator 's daughter splashed across the headline i gave them the plotline of madame bovary again a book they were enchanted to discover <unk> and they wrote
4817_AlaindeBotton_2009G,shopaholic adulteress swallows arsenic after credit fraud and then my favorite
4818_AlaindeBotton_2009G,they really do have a kind of genius of their own these guys my favorite is sophocles
4819_AlaindeBotton_2009G,<unk> in a way if you like at one end of the spectrum of sympathy <unk>
4820_AlaindeBotton_2009G,you 've got the tabloid newspaper at the other end of the spectrum you 've got tragedy and tragic art <unk> and i suppose i 'm arguing that we should learn a little bit about what 's happening in tragic art <unk> it would be insane to call hamlet a loser <unk> he is not a
4821_AlaindeBotton_2009G,<unk> though he has lost and i think that is the message of tragedy to us and why it 's so very very
4822_AlaindeBotton_2009G,important i think the other thing about modern society and why it causes this anxiety is that we have nothing at its center that is non human we are the first society
4823_AlaindeBotton_2009G,to be living in a world where we don 't worship anything other than ourselves we think very highly of ourselves and so we should we 've put people on the moon done all sorts of extraordinary things
4824_AlaindeBotton_2009G,and so we tend to worship ourselves our heroes are human heroes <unk> that 's a very new situation
4825_AlaindeBotton_2009G,<unk> most other societies have had right at their center the worship of something transcendent <unk> a god a spirit a natural force the universe whatever it is something else that is being worshiped <unk>
4826_AlaindeBotton_2009G,we 've slightly lost the habit of doing that which is i think why we 're particularly drawn to nature
4827_AlaindeBotton_2009G,<unk> not for the sake of our health though it 's often presented that way <unk> but because it 's an escape from the human anthill
4828_AlaindeBotton_2009G,it 's an escape from our own competition and our own dramas
4829_AlaindeBotton_2009G,and that 's why we enjoy looking at
4830_AlaindeBotton_2009G,<unk> glaciers and oceans and contemplating the earth from outside its perimeters <unk> etc <unk> we like to feel
4831_AlaindeBotton_2009G,in contact with something that is non human and that is so deeply
4832_AlaindeBotton_2009G,important to us what i think i 've been talking about really is success and failure <unk> and one of the interesting things about success is that we think we know what it
4833_AlaindeBotton_2009G,<unk> if i said that there 's somebody behind the screen who 's very very successful certain ideas would immediately come to mind you 'd think that person might have made a lot of money
4834_AlaindeBotton_2009G,achieved renown in some field
4835_AlaindeBotton_2009G,my own theory of success i 'm somebody who 's very interested in success i really want to be successful always thinking how can i be more successful <unk> but as i get older i 'm also very nuanced about what that word success might mean
4836_AlaindeBotton_2009G,here 's an insight that i 've had about success you can 't be successful at everything
4837_AlaindeBotton_2009G,we hear a lot of talk about
4838_AlaindeBotton_2009G,<unk> you can 't have it all you can 't so any vision of success has to admit what it 's losing out on where the element of loss is <unk>
4839_AlaindeBotton_2009G,and i think any wise life will accept as i say
4840_AlaindeBotton_2009G,<unk> that there is going to be an element where we 're not succeeding <unk> and the thing about a successful life is that a lot of the time our ideas of what it would mean to live successfully
4841_AlaindeBotton_2009G,<unk> sucked in from other people chiefly if you 're a man your father and if you 're a woman your mother <unk>
4842_AlaindeBotton_2009G,psychoanalysis has been drumming home this message for about eighty years no one 's quite listening hard enough but i very much believe it 's true
4843_AlaindeBotton_2009G,and we also suck in messages from everything from the television
4844_AlaindeBotton_2009G,to advertising to marketing <unk> etc <unk> these are hugely powerful forces that define what we want and how we view ourselves
4845_AlaindeBotton_2009G,<unk> when we 're told that banking is a very respectable profession a lot of us want to go into banking when banking is no longer so respectable we lose interest in banking <unk> we are highly open
4846_AlaindeBotton_2009G,to suggestion
4847_AlaindeBotton_2009G,so what i want to argue for is not that we should give up on our ideas of success <unk> but we should make sure that they are our own we should focus in on our ideas and
4848_AlaindeBotton_2009G,make sure that we own them that we are truly the authors of our own ambitions because it 's bad enough not getting what you want <unk> but it 's even worse to have an idea
4849_AlaindeBotton_2009G,of what it is you want and find out at the end of the journey that it isn 't in fact what you wanted all along so i 'm going to end it there but
4850_AlaindeBotton_2009G,what i really want to
4851_AlaindeBotton_2009G,to stress is by all means success <unk> yes <unk> but let 's accept the strangeness of some of our ideas let 's probe away at our notions of success let 's make sure our ideas of
4852_AlaindeBotton_2009G,<unk> that was fascinating but how do you reconcile this idea of it being bad to think of someone as a
4853_AlaindeBotton_2009G,the idea that a lot of people like of
4854_AlaindeBotton_2009G,seizing control of your life
4855_AlaindeBotton_2009G,<unk> and that a society that encourages that perhaps has to have some winners and losers alain de botton
4856_AlaindeBotton_2009G,yes i think it 's merely the randomness of the winning and losing process that i want to stress because the emphasis nowadays is so much on the justice of everything and politicians always talk about justice now i 'm a firm believer in justice <unk> i just think that it 's impossible
4857_AlaindeBotton_2009G,we should do everything we can to pursue it but we should always remember that whoever is facing us
4858_AlaindeBotton_2009G,whatever has happened in their lives there will be a strong element of the haphazard <unk> that 's what i 'm trying to leave room for otherwise it can get quite claustrophobic ca
4859_AlaindeBotton_2009G,i mean do you believe that you can combine your kind of kinder gentler philosophy of work with a successful economy
4860_AlaindeBotton_2009G,<unk> or do you think that you can 't
4861_AlaindeBotton_2009G,<unk> but it doesn 't matter that much that we 're putting too much emphasis on that ab the nightmare thought
4862_AlaindeBotton_2009G,is that frightening people is the best way to get work out of them
4863_AlaindeBotton_2009G,<unk> and that somehow the crueler the environment the more people will rise to the challenge
4864_AlaindeBotton_2009G,you want to think who would you like as your ideal dad and your ideal dad is somebody who is tough but gentle and it 's a very hard line to make we need fathers as it were the
4865_AlaindeBotton_2009G,<unk> father figures in society <unk> avoiding the two extremes which is the authoritarian disciplinarian on the one hand and on the other the lax
4866_AlaindeBotton_2009G,<unk> common ways of dividing the world is into those who believe and those who don
4867_AlaindeBotton_2009G,'t into the religious and the atheists <unk> and for the last decade or so
4868_AlaindeBotton_2009G,it 's been quite clear what being an atheist means there have been some very vocal
4869_AlaindeBotton_2009G,<unk> vocal atheists who 've pointed out not just that religion is wrong <unk> but that it 's ridiculous
4870_AlaindeBotton_2009G,these people many of whom have lived in north oxford have
4871_AlaindeBotton_2009G,argued they 've argued that believing in god is akin to believing in fairies
4872_AlaindeBotton_2009G,and essentially that the whole thing is a childish game <unk> now
4873_AlaindeBotton_2009G,i think it 's too easy i think it 's too easy
4874_AlaindeBotton_2009G,<unk> to dismiss the whole of religion that way <unk>
4875_AlaindeBotton_2009G,and it 's as easy as shooting fish in a barrel and what i 'd like to inaugurate today is a new way of being an atheist if you like a new version of atheism we could call atheism two point zero <unk>
4876_AlaindeBotton_2009G,now what is atheism two point zero well it starts from a very basic premise
4877_AlaindeBotton_2009G,<unk> there 's no god of course there are no deities or supernatural
4878_AlaindeBotton_2009G,spirits or angels <unk> etc <unk> now let 's move on that 's not the end of the story that 's the very very beginning
4879_AlaindeBotton_2009G,i 'm interested in the kind of constituency that thinks something along these lines that thinks i can 't believe in any of this stuff i can 't believe in the doctrines i don 't think these doctrines are right
4880_AlaindeBotton_2009G,<unk> i love christmas carols <unk> i really like
4881_AlaindeBotton_2009G,the art of mantegna <unk> i really like looking at old churches i really like turning
4882_AlaindeBotton_2009G,the pages of the old testament whatever it may be you know the kind of thing i 'm talking about people who are attracted to the ritualistic side the moralistic communal <unk>
4883_AlaindeBotton_2009G,<unk> side of religion but can 't bear the doctrine until now these people have faced a rather unpleasant choice it 's almost as though either you accept the doctrine
4884_AlaindeBotton_2009G,<unk> then you can have all the nice stuff or you reject the doctrine and you 're living in some kind of spiritual wasteland under the guidance of cnn and walmart
4885_AlaindeBotton_2009G,so that 's a sort of tough choice <unk> i don 't think we have to make that choice <unk> i think there is an alternative i think there are ways and i 'm being both very respectful and completely impious of stealing from religions
4886_AlaindeBotton_2011G,<unk> if you don 't believe in a religion there 's nothing wrong with picking and mixing with taking out the best sides of religion
4887_AlaindeBotton_2011G,and for me atheism two point zero is about both as i say a respectful and an impious way of going through religions and saying what here could we use the secular world is full of holes we have secularized badly <unk> i would argue <unk>
4888_AlaindeBotton_2011G,and a thorough study of religion could give us all sorts of insights into areas of life that are not going too well
4889_AlaindeBotton_2011G,<unk> 'd like to run through a few of these today
4890_AlaindeBotton_2011G,i 'd like to kick off by looking at education now education is a field the secular world really believes in
4891_AlaindeBotton_2011G,when we think about how we 're going to make the world a better place we think education that 's where we put a lot of money education is going to give us not only commercial skills <unk> industrial skills <unk> it 's also going to make us better
4892_AlaindeBotton_2011G,<unk> you know the kind of thing a commencement address is and graduation ceremonies those lyrical claims
4893_AlaindeBotton_2011G,that education the process of education particularly higher education will make us into nobler and better human beings that 's a lovely idea <unk>
4894_AlaindeBotton_2011G,interesting where it came from <unk>
4895_AlaindeBotton_2011G,in the early 19th century church attendance in western europe started sliding down very very sharply and people panicked they asked themselves the following question they said
4896_AlaindeBotton_2011G,where are people going to find the morality where are they going to find guidance and where are they
4897_AlaindeBotton_2011G,<unk> to find sources of consolation
4898_AlaindeBotton_2011G,and influential voices came up with one answer they said culture <unk>
4899_AlaindeBotton_2011G,it 's to culture that we should look for guidance for consolation for morality let 's look to the plays of shakespeare <unk> the dialogues of plato the novels of jane austen <unk> in there we 'll find a lot of the truths that we might previously have found in the gospel of saint john
4900_AlaindeBotton_2011G,<unk> now i think that 's a very beautiful idea and a very true idea <unk> they wanted to replace scripture with culture <unk> and that 's a very plausible idea <unk> it 's also an idea that we have forgotten
4901_AlaindeBotton_2011G,if you went to a top university let 's say you went to harvard or oxford or cambridge and you said i 've come here because i 'm in search of morality guidance and consolation i want to know how to live
4902_AlaindeBotton_2011G,they would show you the way to the insane asylum
4903_AlaindeBotton_2011G,<unk> this is simply not what our grandest and best institutes of higher learning are in the business of why they don 't think we need it <unk>
4904_AlaindeBotton_2011G,they don 't think we are in an urgent need of assistance <unk> they see us as adults rational adults <unk> what we need is information <unk> we need data <unk> we don 't need help <unk> now religions start <unk>
4905_AlaindeBotton_2011G,<unk> from a very different place indeed all religions all major religions at various points call us children
4906_AlaindeBotton_2011G,<unk> they believe that we are in severe need of assistance we 're only just holding it together <unk> perhaps this is just me <unk> maybe you
4907_AlaindeBotton_2011G,but anyway <unk> we 're only just holding it together and we need help of course we need help <unk> and so we need guidance and we need didactic learning you know
4908_AlaindeBotton_2011G,in the 18th century in the u k the greatest preacher <unk> greatest religious preacher was a man called john wesley who went up and down this country delivering sermons <unk> advising people how they could live
4909_AlaindeBotton_2011G,<unk> he delivered sermons on the duties of parents to their children and children to their parents the duties of the rich to the poor and the poor to the rich he was trying to tell people how they should live through the medium of sermons <unk>
4910_AlaindeBotton_2011G,the classic medium of delivery of religions <unk> now we 've given up with the idea of sermons if you said to a modern liberal individualist hey
4911_AlaindeBotton_2011G,<unk> wants to change your life
4912_AlaindeBotton_2011G,and a lecture wants to give you a bit of information <unk>
4913_AlaindeBotton_2011G,and i think we need to get back to that sermon tradition <unk> the tradition of sermonizing is hugely valuable because we are in need of guidance morality
4914_AlaindeBotton_2011G,and consolation and religions know that another point about education <unk>
4915_AlaindeBotton_2011G,we tend to believe in the modern secular world that if you tell someone something once they 'll remember it sit them in a classroom tell them about plato at the age of twenty
4916_AlaindeBotton_2011G,<unk> them out for a career in management consultancy for forty years <unk> and that lesson will stick with them religions go nonsense <unk> you need to keep repeating the lesson ten times a day <unk> so get on your <unk>
4917_AlaindeBotton_2011G,<unk> knees and repeat it that 's what all religions tell us get on you knees and repeat it ten or twenty or fifteen times a day otherwise our minds are like sieves <unk>
4918_AlaindeBotton_2011G,<unk> us the new we 're always saying the new is better than the old if i said to you okay we 're not going to have new ted we 're just going to run through all the old ones and watch them five times because they 're so true we 're going to watch elizabeth gilbert five times
4919_AlaindeBotton_2011G,because what she says is so clever you 'd feel cheated not so if you 're adopting a religious mindset <unk> the other things that religions do is to arrange time
4920_AlaindeBotton_2011G,all the major religions give us calendars <unk> what is a calendar
4921_AlaindeBotton_2011G,a calendar is a way of making sure that across the year you will bump into certain very important ideas in the catholic
4922_AlaindeBotton_2011G,chronology catholic calendar
4923_AlaindeBotton_2011G,<unk> at the end of march you will think about st jerome and his qualities of humility and goodness and his generosity to the poor you won 't do that by accident you will do that because you are guided to do that now we don 't think that way in the secular world we think if an idea is important i 'll bump into it i 'll just come across it
4924_AlaindeBotton_2011G,<unk> says the religious
4925_AlaindeBotton_2011G,world view religious view says we need calendars we need to structure time we need to synchronize encounters
4926_AlaindeBotton_2011G,<unk> this comes across also in the way in which religions set up rituals around important feelings <unk> take the moon
4927_AlaindeBotton_2011G,it 's really important to look at the moon you know when you look at the moon <unk> you think i 'm really small what are my problems it sets things into perspective
4928_AlaindeBotton_2011G,<unk> we should all look at the moon a bit more often <unk> we don 't <unk> why don 't we well there 's nothing to tell us look at the moon
4929_AlaindeBotton_2011G,but if you 're a zen buddhist in the middle of september you will be ordered out of your home <unk> made to stand on a canonical platform and made to celebrate the festival of tsukimi where you will be given poems to read in honor <unk>
4930_AlaindeBotton_2011G,<unk> of the moon and the passage of time and the frailty of life that it should remind us of you 'll be handed rice cakes and the moon and the reflection on the moon will have a
4931_AlaindeBotton_2011G,secure place in your heart
4932_AlaindeBotton_2011G,that 's very good <unk> the other thing that religions are really aware of is speak well i 'm not doing a very good job of this here but oratory oratory is absolutely key to religions <unk>
4933_AlaindeBotton_2011G,in the secular world you can come through the university system and be a lousy speaker and still have a great career <unk>
4934_AlaindeBotton_2011G,<unk> pentecostalist church in the american south and you listen to how they talk my goodness they talk well <unk> after every convincing point people will go amen amen amen at the end of a really rousing paragraph <unk>
4935_AlaindeBotton_2011G,<unk> they 'll all stand up and they 'll go thank you jesus thank you christ thank you savior if we were doing it like they do it
4936_AlaindeBotton_2011G,<unk> the other thing that religions know is we 're not just brains we are also bodies and when they teach us a lesson they do it via the body <unk> so
4937_AlaindeBotton_2011G,for example take the jewish idea of forgiveness jews are very interested in forgiveness and how we should start anew and start afresh <unk> they don 't just deliver us sermons on this they don 't just give us books or words about
4938_AlaindeBotton_2011G,<unk> tell us to have a bath <unk> so in orthodox jewish communities every friday you go to a mikveh <unk> you immerse yourself in the water
4939_AlaindeBotton_2011G,and a physical action backs up a philosophical idea <unk> we don 't tend to do that our ideas are in one area and our behavior with our bodies is in another religions are fascinating in the way they try and combine the two let 's look at art now
4940_AlaindeBotton_2011G,now art is something that in the secular world we think very highly of we think art is really really important
4941_AlaindeBotton_2011G,<unk> lot of our surplus wealth goes to museums etc <unk> we sometimes hear it said that museums are our new cathedrals or our new churches you 've heard that saying
4942_AlaindeBotton_2011G,<unk> now i think that the potential is there <unk> but we 've completely let ourselves down and the reason we 've let ourselves down
4943_AlaindeBotton_2011G,is that we 're not properly studying how religions handle
4944_AlaindeBotton_2011G,<unk> the two really bad ideas that are hovering in the modern world that inhibit our capacity to draw strength from art the first idea is that art should be for art 's sake a ridiculous <unk>
4945_AlaindeBotton_2011G,<unk> idea an idea that art should live in a hermetic bubble and should not try to do anything with this troubled world i couldn 't disagree more
4946_AlaindeBotton_2011G,<unk> if they said it it might destroy the spell and
4947_AlaindeBotton_2011G,we might find it too easy that 's why a very common feeling when you 're in a museum let 's admit it is i don 't know what this is about
4948_AlaindeBotton_2011G,but if we 're serious people we don 't admit to that but that feeling of puzzlement is structural
4949_AlaindeBotton_2011G,to contemporary art now religions have a much saner attitude to art they have no trouble telling us what art is about art is about two things in all the major faiths <unk> firstly <unk>
4950_AlaindeBotton_2011G,<unk> it 's trying to remind you of what there is to love and secondly <unk> it 's trying to remind you of what there is to
4951_AlaindeBotton_2011G,<unk> fear and to hate <unk> and that 's what art is art is a visceral encounter with the most important ideas of your faith <unk> so as you walk around a church or a mosque or a cathedral <unk>
4952_AlaindeBotton_2011G,what you 're trying to imbibe what you 're imbibing is through your eyes through your senses truths that have otherwise come to you through your mind <unk> essentially it 's propaganda <unk> rembrandt is a propagandist
4953_AlaindeBotton_2011G,<unk> in the christian view now the word propaganda sets off alarm bells we think of hitler we think of stalin don 't necessarily propaganda is a manner of being didactic in honor of something and if that thing is good there 's no problem with <unk>
